#  foam_annealed3_s2.fe
  D_time     energy      minL    scale         p cells
    0.3800  5.3061333  0.098598  10.1770  0.002123  1000
    0.3800  5.3061332  0.098277   9.5619  0.002123  1000
    0.3800  5.3061332  0.098119   5.1951  0.002123  1000
    0.3800  5.3061331  0.098066   4.7847  0.002123  1000
    0.3800  5.3061331  0.097939   4.9921  0.002123  1000
#
    0.3900  5.3055476  0.097925  12.9109  0.002207  1000
    0.3900  5.3055475  0.097102   9.8930  0.002207  1000
    0.3900  5.3055475  0.096727   6.5477  0.002207  1000
    0.3900  5.3055475  0.096512   8.2306  0.002207  1000
    0.3900  5.3055474  0.096493   4.5848  0.002207  1000
    0.3900  5.3055474  0.096452   5.0353  0.002207  1000
#
    0.4000  5.3049601  0.096436  15.2315  0.002294  1000
    0.4000  5.3049600  0.095284   7.0619  0.002294  1000
    0.4000  5.3049599  0.095199   9.7123  0.002294  1000
    0.4000  5.3049599  0.094970   6.7336  0.002294  1000
    0.4000  5.3049599  0.094885   6.1797  0.002294  1000
    0.4000  5.3049599  0.094854   4.4530  0.002294  1000
#
    0.4100  5.3043706  0.094815  14.0772  0.002382  1000
    0.4100  5.3043705  0.094118   7.3274  0.002382  1000
    0.4100  5.3043705  0.093382   6.0391  0.002382  1000
    0.4100  5.3043704  0.093134   6.3103  0.002382  1000
    0.4100  5.3043704  0.093072   4.4387  0.002382  1000
    0.4100  5.3043704  0.092963   5.5426  0.002382  1000
#
    0.4200  5.3037793  0.092962  14.8462  0.002473  1000
    0.4200  5.3037792  0.091923   6.4373  0.002473  1000
    0.4200  5.3037792  0.091684  10.3258  0.002473  1000
    0.4200  5.3037791  0.091355   6.4479  0.002473  1000
    0.4200  5.3037791  0.091309   5.7894  0.002473  1000
    0.4200  5.3037791  0.091177   6.5348  0.002473  1000
#
    0.4300  5.3031861  0.091137  13.6647  0.002565  1000
    0.4300  5.3031860  0.090023   7.6392  0.002565  1000
    0.4300  5.3031859  0.089717  14.4822  0.002565  1000
    0.4300  5.3031859  0.089448   4.7816  0.002565  1000
    0.4300  5.3031859  0.089203   3.5666  0.002565  1000
    0.4300  5.3031858  0.089067   5.4655  0.002565  1000
#
    0.4400  5.3025910  0.089026  12.7075  0.002660  1000
    0.4400  5.3025909  0.088037   6.0288  0.002660  1000
    0.4400  5.3025908  0.087425  11.0616  0.002660  1000
    0.4400  5.3025908  0.086996   7.0756  0.002660  1000
    0.4400  5.3025908  0.086912   4.8599  0.002660  1000
    0.4400  5.3025907  0.086786   5.2382  0.002660  1000
#
    0.4500  5.3019939  0.086832  12.8971  0.002757  1000
    0.4500  5.3019938  0.085699  10.0279  0.002757  1000
    0.4500  5.3019937  0.084926   4.4577  0.002757  1000
    0.4500  5.3019937  0.084769   8.1667  0.002757  1000
    0.4500  5.3019937  0.084488   3.5119  0.002757  1000
    0.4500  5.3019936  0.084174   9.8068  0.002757  1000
#
    0.4600  5.3013948  0.084276  10.1795  0.002855  1000
    0.4600  5.3013947  0.083527  10.9830  0.002855  1000
    0.4600  5.3013946  0.082772   8.9103  0.002855  1000
    0.4600  5.3013946  0.082021   6.5480  0.002855  1000
    0.4600  5.3013945  0.081859   5.5599  0.002855  1000
    0.4600  5.3013945  0.081687   5.6762  0.002855  1000
#
    0.4700  5.3007937  0.081762  10.4232  0.002956  1000
    0.4700  5.3007936  0.080638   6.2193  0.002956  1000
    0.4700  5.3007936  0.079845   3.9375  0.002956  1000
    0.4700  5.3007935  0.079413   5.0248  0.002956  1000
    0.4700  5.3007935  0.079028   3.2596  0.002956  1000
    0.4700  5.3007935  0.078648   7.1602  0.002956  1000
#
    0.4800  5.3001907  0.078743  11.2249  0.003059  1000
    0.4800  5.3001906  0.077382   6.5070  0.003059  1000
    0.4800  5.3001905  0.076452   4.7013  0.003059  1000
    0.4800  5.3001905  0.075821   5.6986  0.003059  1000
    0.4800  5.3001904  0.075541   3.9045  0.003059  1000
    0.4800  5.3001904  0.075068   3.3774  0.003059  1000
#
    0.4900  5.2995856  0.075175  10.4530  0.003164  1000
    0.4900  5.2995855  0.073606   8.2882  0.003164  1000
    0.4900  5.2995854  0.072863   5.0868  0.003164  1000
    0.4900  5.2995854  0.071988   5.0893  0.003164  1000
    0.4900  5.2995853  0.071728   5.1475  0.003164  1000
    0.4900  5.2995853  0.071229   3.6946  0.003164  1000
#
    0.5000  5.2989784  0.071274  11.7337  0.003271  1000
    0.5000  5.2989783  0.069673   5.0444  0.003271  1000
    0.5000  5.2989782  0.068911   4.0907  0.003271  1000
    0.5000  5.2989782  0.068051   5.1309  0.003271  1000
    0.5000  5.2989781  0.067098   3.2873  0.003271  1000
    0.5000  5.2989781  0.066752   2.8406  0.003271  1000
#
    0.5100  5.2983690  0.066367   8.1666  0.003380  1000
    0.5100  5.2983689  0.064449   3.4588  0.003380  1000
    0.5100  5.2983688  0.063351   5.2129  0.003380  1000
    0.5100  5.2983688  0.062247   3.9711  0.003380  1000
    0.5100  5.2983687  0.061185   3.3289  0.003380  1000
    0.5100  5.2983687  0.060196   3.2490  0.003380  1000
#
    0.5200  5.2977575  0.059741   7.3971  0.003492  1000
    0.5200  5.2977573  0.057322   5.4211  0.003492  1000
    0.5200  5.2977573  0.056203   5.2545  0.003492  1000
    0.5200  5.2977572  0.053729   4.6550  0.003492  1000
    0.5200  5.2977572  0.051802   1.9184  0.003492  1000
    0.5200  5.2977571  0.050976   1.8646  0.003492  1000
#
    0.5300  5.2971438  0.050073   3.9845  0.003605  1000
    0.5300  5.2971436  0.046837   2.9704  0.003605  1000
    0.5300  5.2971436  0.045745   2.3835  0.003605  1000
    0.5300  5.2971435  0.044365   1.5952  0.003605  1000
    0.5300  5.2971435  0.042774   4.2387  0.003605  1000
    0.5300  5.2971435  0.041595   2.0861  0.003605  1000
#
    0.5400  5.2965279  0.039453   2.9510  0.003721  1000
    0.5400  5.2965277  0.035533   4.0162  0.003721  1000
    0.5400  5.2965276  0.032794   2.6111  0.003721  1000
    0.5400  5.2965275  0.029273   4.2325  0.003721  1000
