polydispersity,average_face_degree,percentage_flag,energy
0.373071049671012,11.614,74.3,3.99068
0.373151453200032,11.542,71.9,3.99478
0.375058170424637,11.618,73.1,3.98313
0.375186822387136,11.612,75.2,3.98777
0.377394510108428,11.654,77.6,3.97527
0.378119797674598,11.534,70.8,3.98205
0.379980441982839,11.484,70.4,3.97775
0.379987861601926,11.582,73.4,3.9736
0.382331595125965,11.568,76.7,3.96593
0.385153408789564,11.486,71.3,3.96306
0.385375707393484,11.546,74.6,3.9592
0.386292935946669,11.496,72.8,3.95919
0.387896848426393,11.51,74.8,3.95029
0.388512411286987,11.456,72.2,3.95446
0.388736538013674,11.522,75.6,3.95096
0.388921028742859,11.554,70.5,3.95416
0.390216540543748,11.534,76.4,3.9441
0.392312446589336,11.544,75.3,3.93998
0.392367867628981,11.512,73.7,3.94314
0.393974136159662,11.51,73.7,3.93844
0.395524110120224,11.528,72.8,3.93052
0.396299958685647,11.518,73,3.93167
0.396987910459887,11.524,74,3.92958
0.399347217031413,11.456,70.6,3.92491
