step, flag_perc, avg_face_degree, polydispersity, avg_volume, time
foam82, 98.3, 13.598, 0.06223623155579716, 1.0622034631419952, 1.74
foam83, 98.998998998999, 13.595595595595595, 0.0631351595839793, 1.0640502295982137, 1.74881
foam84, 98.7987987987988, 13.58958958958959, 0.06459274821457806, 1.0636623190206496, 1.75881
foam85, 98.7987987987988, 13.577577577577578, 0.0661747268039512, 1.0634575715913823, 1.76881
foam86, 98.7987987987988, 13.573573573573574, 0.06761681750293991, 1.0638547004322465, 1.77881
foam87, 98.7987987987988, 13.561561561561561, 0.06922781582841808, 1.064112245309759, 1.78881
foam88, 98.998998998999, 13.545545545545545, 0.07091347678852467, 1.0622543367688515, 1.79881
foam89, 98.998998998999, 13.537537537537538, 0.07254756412738672, 1.0608655282827406, 1.80881
foam90, 98.998998998999, 13.52952952952953, 0.07420550380128055, 1.0614123183810882, 1.81881
foam91, 99.49899799599199, 13.53306613226453, 0.07456305141267339, 1.0625738927046808, 1.8334
foam92, 99.49849548645938, 13.520561685055165, 0.07756318075968838, 1.0631689821258015, 1.84302
foam93, 99.49849548645938, 13.510531594784354, 0.0793592109365282, 1.0630684715161922, 1.85302
foam94, 99.19759277833501, 13.494483450351053, 0.08119253241087643, 1.0628364519192028, 1.86302
foam95, 98.89669007021064, 13.47642928786359, 0.08329909119649082, 1.0630947068015093, 1.87302
foam96, 98.69608826479438, 13.45837512537613, 0.08526393458959292, 1.0623358019763747, 1.88302
foam97, 97.19157472417251, 13.430290872617853, 0.08744640527883574, 1.0625073047633498, 1.89302
foam98, 97.19157472417251, 13.422266800401204, 0.08934926158920886, 1.0628697635317383, 1.90302
foam99, 97.0912738214644, 13.414242728184554, 0.09141088439227918, 1.0629866758937805, 1.91302
foam100, 97.0912738214644, 13.398194583751254, 0.09363664902119839, 1.0623829025091998, 1.92302
foam101, 96.08826479438315, 13.384152457372116, 0.09784860903234249, 1.0629797918312383, 1.94302
foam102, 95.58676028084253, 13.364092276830492, 0.1002926163592901, 1.0612992782341621, 1.95302
foam103, 95.98393574297188, 13.349397590361447, 0.10159313186835384, 1.061102163429065, 1.95944
