cell_tetrahedron, cell_prism_3, cell_cube, cell_prism_5, cell_config_1, cell_config_2, cell_config_3, cell_config_4, cell_config_5, cell_config_6, cell_config_7, cell_config_8, cell_config_9, cell_dodecahedron, cell_config_10, cell_config_11, cell_config_12, cell_config_13, cell_config_14, cell_config_15, cell_config_16, cell_config_17, cell_config_18, cell_config_19, all_cells, all_combinatorial_types
1, 0, 4, 4, 12, 23, 3, 17, 5, 17, 37, 18, 69, 40, 37, 22, 22, 15, 14, 27, 21, 11, 39, 10, 1000, 299
1, 0, 4, 5, 13, 22, 3, 18, 5, 17, 36, 19, 66, 41, 38, 22, 23, 15, 13, 27, 22, 11, 38, 10, 1000, 299
2, 0, 3, 5, 15, 22, 3, 18, 7, 17, 34, 19, 67, 39, 36, 21, 23, 14, 13, 25, 23, 11, 39, 12, 1000, 304
2, 0, 3, 5, 15, 23, 3, 19, 6, 17, 35, 19, 68, 39, 36, 19, 23, 14, 14, 25, 24, 11, 38, 13, 1000, 300
2, 0, 3, 5, 15, 23, 3, 19, 6, 17, 36, 19, 67, 39, 36, 19, 21, 14, 14, 25, 23, 11, 38, 12, 1000, 302
2, 0, 4, 5, 15, 22, 3, 19, 6, 17, 36, 19, 67, 39, 36, 19, 19, 14, 13, 24, 23, 11, 39, 12, 1000, 305
2, 0, 4, 5, 16, 27, 2, 21, 5, 18, 37, 20, 65, 38, 34, 18, 19, 14, 12, 25, 22, 9, 41, 14, 1000, 317
2, 0, 4, 5, 16, 30, 2, 22, 5, 17, 42, 19, 65, 36, 32, 17, 20, 14, 11, 23, 21, 7, 40, 15, 1000, 321
2, 1, 3, 5, 17, 30, 2, 22, 7, 16, 42, 18, 64, 35, 31, 17, 20, 14, 11, 23, 21, 7, 42, 15, 1000, 327
3, 0, 4, 5, 19, 29, 3, 23, 5, 16, 40, 19, 64, 35, 31, 17, 20, 12, 11, 24, 19, 7, 41, 15, 1000, 328
2, 0, 5, 6, 20, 29, 3, 24, 5, 17, 38, 22, 62, 34, 29, 17, 18, 11, 11, 23, 20, 7, 43, 15, 999, 329
2, 0, 5, 6, 20, 30, 4, 23, 5, 16, 41, 22, 59, 35, 31, 16, 18, 9, 10, 22, 20, 7, 45, 13, 999, 331
2, 0, 7, 6, 18, 33, 6, 24, 9, 14, 39, 20, 57, 35, 31, 16, 17, 11, 10, 19, 18, 6, 45, 13, 999, 340
2, 0, 8, 6, 19, 32, 6, 23, 9, 14, 39, 20, 58, 34, 31, 16, 17, 11, 11, 19, 17, 6, 45, 13, 999, 339
2, 0, 9, 7, 18, 32, 7, 26, 8, 14, 40, 19, 60, 35, 29, 15, 15, 10, 10, 19, 15, 5, 43, 11, 999, 345
2, 0, 11, 6, 21, 32, 7, 27, 9, 18, 38, 24, 62, 35, 29, 16, 16, 9, 8, 16, 12, 6, 41, 9, 999, 346
2, 0, 12, 6, 21, 31, 10, 28, 7, 18, 44, 24, 60, 34, 29, 17, 14, 10, 9, 11, 12, 5, 40, 9, 999, 349
2, 0, 12, 7, 21, 33, 10, 26, 7, 23, 43, 25, 56, 33, 28, 18, 14, 10, 10, 12, 10, 5, 40, 9, 999, 350
1, 0, 12, 7, 22, 33, 11, 25, 7, 23, 43, 26, 56, 33, 29, 18, 14, 10, 9, 13, 10, 4, 40, 9, 998, 348
1, 0, 14, 6, 21, 35, 12, 27, 7, 25, 41, 28, 52, 32, 28, 16, 14, 11, 9, 12, 10, 4, 40, 10, 997, 348
1, 0, 14, 6, 25, 34, 10, 28, 8, 24, 45, 28, 49, 30, 27, 17, 15, 12, 10, 15, 9, 3, 39, 10, 997, 351
1, 1, 14, 7, 25, 36, 8, 28, 10, 25, 45, 29, 49, 29, 25, 15, 15, 12, 10, 15, 8, 3, 44, 9, 997, 348
1, 2, 15, 9, 25, 40, 9, 31, 8, 24, 43, 26, 50, 27, 23, 14, 14, 11, 9, 11, 8, 5, 44, 10, 997, 358
2, 1, 17, 10, 28, 39, 9, 32, 8, 25, 39, 26, 51, 25, 23, 13, 14, 11, 9, 13, 8, 5, 43, 10, 997, 359
5, 1, 18, 11, 24, 43, 9, 31, 7, 28, 43, 29, 50, 23, 23, 12, 13, 8, 10, 12, 8, 5, 40, 11, 997, 369
5, 1, 20, 11, 27, 43, 8, 32, 7, 26, 44, 29, 49, 22, 21, 11, 12, 10, 10, 11, 8, 4, 43, 12, 997, 372
6, 0, 21, 13, 25, 43, 9, 31, 8, 28, 44, 26, 49, 21, 19, 12, 11, 8, 10, 10, 7, 4, 42, 10, 997, 378
6, 0, 23, 17, 24, 42, 13, 36, 10, 30, 39, 24, 47, 16, 18, 9, 10, 7, 7, 11, 6, 4, 38, 11, 997, 390
8, 0, 24, 17, 22, 43, 13, 37, 12, 28, 42, 22, 44, 17, 17, 7, 10, 7, 7, 12, 8, 4, 37, 10, 997, 396
8, 1, 23, 19, 25, 44, 12, 41, 14, 28, 41, 19, 40, 16, 13, 6, 8, 7, 8, 8, 8, 4, 30, 12, 997, 399
7, 2, 24, 18, 31, 46, 13, 41, 16, 26, 41, 18, 35, 15, 11, 5, 7, 8, 10, 8, 7, 3, 32, 10, 996, 395
7, 2, 26, 19, 32, 41, 14, 41, 16, 28, 45, 17, 34, 17, 12, 6, 6, 7, 9, 10, 6, 3, 31, 9, 995, 392
8, 1, 27, 19, 34, 40, 14, 38, 15, 28, 46, 19, 35, 17, 12, 7, 6, 7, 9, 10, 6, 3, 32, 8, 995, 389
7, 1, 28, 21, 40, 38, 12, 40, 14, 28, 43, 18, 33, 16, 12, 7, 6, 7, 11, 10, 5, 2, 34, 7, 994, 390
8, 1, 26, 22, 43, 35, 16, 44, 16, 26, 44, 16, 32, 14, 10, 8, 6, 7, 10, 10, 5, 2, 29, 7, 993, 401
7, 1, 27, 22, 42, 35, 16, 44, 16, 26, 43, 16, 33, 14, 10, 7, 6, 7, 10, 10, 5, 2, 29, 8, 992, 401
6, 2, 26, 23, 43, 41, 15, 41, 15, 25, 45, 19, 32, 14, 10, 7, 6, 7, 11, 11, 5, 2, 26, 9, 991, 408
6, 2, 29, 25, 47, 40, 17, 37, 17, 25, 45, 17, 28, 14, 9, 7, 6, 7, 11, 12, 4, 2, 26, 9, 991, 407
6, 2, 29, 26, 48, 39, 17, 36, 18, 25, 46, 17, 26, 13, 9, 7, 6, 7, 9, 13, 4, 2, 26, 9, 991, 409
8, 2, 31, 28, 48, 40, 16, 39, 17, 29, 41, 16, 24, 12, 9, 7, 6, 7, 10, 12, 4, 2, 24, 8, 991, 412
10, 4, 34, 25, 54, 44, 18, 36, 14, 26, 42, 18, 25, 13, 10, 7, 8, 7, 9, 7, 4, 2, 20, 8, 990, 412
10, 4, 33, 26, 53, 44, 18, 36, 15, 26, 42, 17, 24, 13, 10, 7, 8, 6, 9, 7, 4, 2, 21, 8, 989, 413
9, 4, 34, 26, 55, 43, 18, 36, 15, 26, 42, 17, 24, 13, 10, 8, 8, 6, 9, 7, 4, 1, 21, 8, 988, 413
9, 5, 35, 27, 62, 40, 17, 34, 15, 26, 41, 19, 24, 14, 10, 8, 7, 6, 9, 6, 3, 1, 18, 7, 988, 412
11, 3, 36, 28, 62, 43, 20, 30, 12, 27, 37, 19, 21, 14, 11, 8, 8, 6, 8, 7, 3, 1, 17, 8, 988, 412
12, 3, 36, 28, 62, 44, 19, 32, 12, 27, 36, 18, 20, 14, 11, 8, 7, 6, 8, 7, 3, 1, 18, 8, 987, 413
11, 3, 36, 29, 62, 44, 18, 32, 12, 27, 36, 19, 20, 14, 11, 8, 7, 6, 8, 7, 3, 1, 18, 8, 986, 412
11, 2, 36, 29, 62, 45, 18, 32, 12, 26, 36, 19, 20, 13, 11, 8, 7, 6, 8, 7, 3, 1, 20, 8, 985, 411
14, 3, 36, 29, 59, 44, 19, 33, 13, 25, 35, 19, 19, 13, 10, 7, 8, 6, 6, 6, 2, 1, 20, 7, 985, 415
14, 3, 37, 30, 60, 46, 20, 32, 12, 27, 32, 19, 22, 10, 9, 6, 8, 8, 6, 6, 2, 1, 24, 7, 984, 416
